评论,城市,性别,粉丝数,好友数,微博数,创建时间,热搜名字
现在基本都是独生子，叫家长怎么办,河北,m,226,2343,521,Thu Jul 24 11:51:17 +0800 2025,殡仪馆称网传大学生遗体损坏不实
说得好像很会做善后工作一样，从来不会从根本上解决问题…,四川 成都,m,14,99,179,Thu Jul 24 13:44:33 +0800 2025,殡仪馆称网传大学生遗体损坏不实
遗体在哪里，这种当场就无了,江苏,f,154,519,566,Thu Jul 24 13:28:46 +0800 2025,殡仪馆称网传大学生遗体损坏不实
此地无银三百两,北京 朝阳区,m,10850,3695,5635,Thu Jul 24 13:40:57 +0800 2025,殡仪馆称网传大学生遗体损坏不实
可以先搜索一下关键词：浮选槽工作原理 你们就知道了。。。,福建,m,24164,311,2419,Thu Jul 24 14:02:52 +0800 2025,殡仪馆称网传大学生遗体损坏不实
不知道他们家长怎么承受，希望以后不要再有这种事了,陕西,f,158,254,987,Thu Jul 24 13:43:39 +0800 2025,殡仪馆称网传大学生遗体损坏不实
当时的新闻词条就想避重就轻 换成一个民营企业早就爆了,江西 宜春,f,10,92,205,Thu Jul 24 13:56:10 +0800 2025,殡仪馆称网传大学生遗体损坏不实
领导怎么不掉进去,其他,m,740,344,70,Thu Jul 24 13:06:30 +0800 2025,殡仪馆称网传大学生遗体损坏不实
欲盖弥彰,广东,f,10413,918,923,Thu Jul 24 13:37:46 +0800 2025,殡仪馆称网传大学生遗体损坏不实
自己和家人都健健康康平平安安快快乐乐,山东,m,1110,277,169,Thu Jul 24 14:01:13 +0800 2025,殡仪馆称网传大学生遗体损坏不实
到现在都没有清理干净,广西 南宁,m,211,685,964,Thu Jul 24 14:25:21 +0800 2025,殡仪馆称网传大学生遗体损坏不实
年轻的生命好可惜,广东 珠海,m,172,324,2519,Thu Jul 24 13:45:11 +0800 2025,殡仪馆称网传大学生遗体损坏不实
太痛心了！安全隐患一定要极其重视,四川 乐山,m,61,166,569,Thu Jul 24 13:29:30 +0800 2025,殡仪馆称网传大学生遗体损坏不实
“他们会清理得干干净净。”,其他,f,88,478,1014,Thu Jul 24 14:18:11 +0800 2025,殡仪馆称网传大学生遗体损坏不实
这安全防范措施不知道怎么搞的,浙江 杭州,f,194,809,585,Thu Jul 24 13:50:07 +0800 2025,殡仪馆称网传大学生遗体损坏不实
这么危险的专业，学霸们避避坑,新疆,f,212,257,237,Thu Jul 24 14:21:53 +0800 2025,殡仪馆称网传大学生遗体损坏不实
六条鲜活的生命！,其他,m,98,91,26,Thu Jul 24 13:35:22 +0800 2025,殡仪馆称网传大学生遗体损坏不实
安息,上海 长宁区,f,647,447,2748,Thu Jul 24 14:37:34 +0800 2025,殡仪馆称网传大学生遗体损坏不实
